epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,200.761,0.93111,0.45759,0.85204,0.17441,0.73651,0.1904,0.0718,2.23447,3.50076,1.07054,0.000519875,0.000519875,0.000519875
120,202.411,0.93883,0.45617,0.84694,0.16981,0.70843,0.18217,0.07153,2.20787,3.51294,1.07068,0.000513688,0.000513688,0.000513688
121,204.02,0.92761,0.45266,0.86075,0.1789,0.72449,0.18795,0.0733,2.21438,3.4565,1.07359,0.0005075,0.0005075,0.0005075
122,205.613,0.93791,0.46075,0.83291,0.18532,0.72247,0.19862,0.07401,2.22854,3.39225,1.07958,0.000501313,0.000501313,0.000501313
123,207.238,0.91557,0.44936,0.84019,0.18915,0.74532,0.20463,0.07915,2.23221,3.38872,1.08258,0.000495125,0.000495125,0.000495125
124,208.8,0.90562,0.44678,0.84907,0.18853,0.76399,0.20459,0.07712,2.25923,3.3364,1.08772,0.000488938,0.000488938,0.000488938
125,210.409,0.90319,0.45724,0.83511,0.18647,0.7498,0.20082,0.07787,2.23069,3.32424,1.08357,0.00048275,0.00048275,0.00048275
126,212.034,0.91866,0.4519,0.84351,0.18951,0.78251,0.21817,0.08537,2.18222,3.14555,1.0705,0.000476562,0.000476562,0.000476562
127,213.627,0.85836,0.45316,0.83503,0.1925,0.77295,0.2137,0.08898,2.24288,3.06933,1.0832,0.000470375,0.000470375,0.000470375
128,215.236,0.89454,0.43257,0.85009,0.19484,0.77295,0.21987,0.09093,2.25093,3.21258,1.0754,0.000464188,0.000464188,0.000464188
129,216.829,0.90178,0.44406,0.83244,0.18986,0.76615,0.21742,0.08855,2.23879,3.27661,1.06738,0.000458,0.000458,0.000458
130,218.455,0.87814,0.44369,0.84381,0.19055,0.78467,0.21138,0.08219,2.31512,3.4362,1.08776,0.000451813,0.000451813,0.000451813
131,220.049,0.85353,0.42765,0.83639,0.18077,0.76399,0.20404,0.07827,2.30376,3.57089,1.07952,0.000445625,0.000445625,0.000445625
